"","Array","Species","ID","Location","Order","Trial","Session"
"1","Zarray","Japanese macaque","Asaco","1",1,1,1
"2","Zarray","Japanese macaque","Asaco","3",2,1,1
"3","Zarray","Japanese macaque","Asaco","4",3,1,1
"4","Zarray","Japanese macaque","Asaco","5",4,1,1
"5","Zarray","Japanese macaque","Asaco","6",5,1,1
"6","Zarray","Japanese macaque","Asaco","2",6,1,1
"7","Zarray","Japanese macaque","Asaco","1001",7,1,1
"8","Zarray","Japanese macaque","Asaco","6",1,2,2
"9","Zarray","Japanese macaque","Asaco","4",2,2,2
"10","Zarray","Japanese macaque","Asaco","3",3,2,2
"11","Zarray","Japanese macaque","Asaco","2",4,2,2
"12","Zarray","Japanese macaque","Asaco","1",5,2,2
"13","Zarray","Japanese macaque","Asaco","5",6,2,2
"14","Zarray","Japanese macaque","Asaco","1002",7,2,2
"15","Zarray","Japanese macaque","Asaco","1",1,3,2
"16","Zarray","Japanese macaque","Asaco","3",2,3,2
"17","Zarray","Japanese macaque","Asaco","4",3,3,2
"18","Zarray","Japanese macaque","Asaco","6",4,3,2
"19","Zarray","Japanese macaque","Asaco","5",5,3,2
"20","Zarray","Japanese macaque","Asaco","2",6,3,2
"21","Zarray","Japanese macaque","Asaco","1003",7,3,2
"22","Zarray","Japanese macaque","Asaco","1",1,4,2
"23","Zarray","Japanese macaque","Asaco","3",2,4,2
"24","Zarray","Japanese macaque","Asaco","4",3,4,2
"25","Zarray","Japanese macaque","Asaco","6",4,4,2
"26","Zarray","Japanese macaque","Asaco","5",5,4,2
"27","Zarray","Japanese macaque","Asaco","2",6,4,2
"28","Zarray","Japanese macaque","Asaco","1004",7,4,2
"29","Zarray","Japanese macaque","Asaco","5",1,5,3
"30","Zarray","Japanese macaque","Asaco","6",2,5,3
"31","Zarray","Japanese macaque","Asaco","4",3,5,3
"32","Zarray","Japanese macaque","Asaco","3",4,5,3
"33","Zarray","Japanese macaque","Asaco","2",5,5,3
"34","Zarray","Japanese macaque","Asaco","1",6,5,3
"35","Zarray","Japanese macaque","Asaco","1005",7,5,3
"36","Zarray","Japanese macaque","Asaco","5",1,6,4
"37","Zarray","Japanese macaque","Asaco","6",2,6,4
"38","Zarray","Japanese macaque","Asaco","4",3,6,4
"39","Zarray","Japanese macaque","Asaco","3",4,6,4
"40","Zarray","Japanese macaque","Asaco","2",5,6,4
"41","Zarray","Japanese macaque","Asaco","1",6,6,4
"42","Zarray","Japanese macaque","Asaco","1006",7,6,4
"43","Zarray","Japanese macaque","Asaco","1",1,7,4
"44","Zarray","Japanese macaque","Asaco","2",2,7,4
"45","Zarray","Japanese macaque","Asaco","3",3,7,4
"46","Zarray","Japanese macaque","Asaco","4",4,7,4
"47","Zarray","Japanese macaque","Asaco","5",5,7,4
"48","Zarray","Japanese macaque","Asaco","6",6,7,4
"49","Zarray","Japanese macaque","Asaco","1007",7,7,4
"50","Zarray","Japanese macaque","Asaco","1",1,8,5
"51","Zarray","Japanese macaque","Asaco","2",2,8,5
"52","Zarray","Japanese macaque","Asaco","3",3,8,5
"53","Zarray","Japanese macaque","Asaco","4",4,8,5
"54","Zarray","Japanese macaque","Asaco","5",5,8,5
"55","Zarray","Japanese macaque","Asaco","6",6,8,5
"56","Zarray","Japanese macaque","Asaco","1008",7,8,5
"57","Zarray","Japanese macaque","Asaco","5",1,9,6
"58","Zarray","Japanese macaque","Asaco","6",2,9,6
"59","Zarray","Japanese macaque","Asaco","4",3,9,6
"60","Zarray","Japanese macaque","Asaco","3",4,9,6
"61","Zarray","Japanese macaque","Asaco","2",5,9,6
"62","Zarray","Japanese macaque","Asaco","1",6,9,6
"63","Zarray","Japanese macaque","Asaco","1009",7,9,6
"64","Zarray","Japanese macaque","Asaco","1",1,10,6
"65","Zarray","Japanese macaque","Asaco","2",2,10,6
"66","Zarray","Japanese macaque","Asaco","3",3,10,6
"67","Zarray","Japanese macaque","Asaco","4",4,10,6
"68","Zarray","Japanese macaque","Asaco","5",5,10,6
"69","Zarray","Japanese macaque","Asaco","6",6,10,6
"70","Zarray","Japanese macaque","Asaco","1010",7,10,6
"71","Zarray","Japanese macaque","Asaco","1",1,11,7
"72","Zarray","Japanese macaque","Asaco","2",2,11,7
"73","Zarray","Japanese macaque","Asaco","3",3,11,7
"74","Zarray","Japanese macaque","Asaco","4",4,11,7
"75","Zarray","Japanese macaque","Asaco","5",5,11,7
"76","Zarray","Japanese macaque","Asaco","6",6,11,7
"77","Zarray","Japanese macaque","Asaco","1011",7,11,7
"78","Zarray","Japanese macaque","BrightEyes","1",1,1,1
"79","Zarray","Japanese macaque","BrightEyes","3",2,1,1
"80","Zarray","Japanese macaque","BrightEyes","4",3,1,1
"81","Zarray","Japanese macaque","BrightEyes","6",4,1,1
"82","Zarray","Japanese macaque","BrightEyes","5",5,1,1
"83","Zarray","Japanese macaque","BrightEyes","2",6,1,1
"84","Zarray","Japanese macaque","BrightEyes","1001",7,1,1
"85","Zarray","Japanese macaque","BrightEyes","1",1,2,2
"86","Zarray","Japanese macaque","BrightEyes","3",2,2,2
"87","Zarray","Japanese macaque","BrightEyes","4",3,2,2
"88","Zarray","Japanese macaque","BrightEyes","5",4,2,2
"89","Zarray","Japanese macaque","BrightEyes","6",5,2,2
"90","Zarray","Japanese macaque","BrightEyes","2",6,2,2
"91","Zarray","Japanese macaque","BrightEyes","1002",7,2,2
"92","Zarray","Japanese macaque","BrightEyes","2",1,3,3
"93","Zarray","Japanese macaque","BrightEyes","1",2,3,3
"94","Zarray","Japanese macaque","BrightEyes","3",3,3,3
"95","Zarray","Japanese macaque","BrightEyes","4",4,3,3
"96","Zarray","Japanese macaque","BrightEyes","6",5,3,3
"97","Zarray","Japanese macaque","BrightEyes","5",6,3,3
"98","Zarray","Japanese macaque","BrightEyes","1003",7,3,3
"99","Zarray","Japanese macaque","BrightEyes","2",1,4,3
"100","Zarray","Japanese macaque","BrightEyes","3",2,4,3
"101","Zarray","Japanese macaque","BrightEyes","4",3,4,3
"102","Zarray","Japanese macaque","BrightEyes","5",4,4,3
"103","Zarray","Japanese macaque","BrightEyes","6",5,4,3
"104","Zarray","Japanese macaque","BrightEyes","1",6,4,3
"105","Zarray","Japanese macaque","BrightEyes","1004",7,4,3
"106","Zarray","Japanese macaque","BrightEyes","1",1,5,3
"107","Zarray","Japanese macaque","BrightEyes","3",2,5,3
"108","Zarray","Japanese macaque","BrightEyes","4",3,5,3
"109","Zarray","Japanese macaque","BrightEyes","6",4,5,3
"110","Zarray","Japanese macaque","BrightEyes","5",5,5,3
"111","Zarray","Japanese macaque","BrightEyes","2",6,5,3
"112","Zarray","Japanese macaque","BrightEyes","1005",7,5,3
"113","Zarray","Japanese macaque","BrightEyes","4",1,6,4
"114","Zarray","Japanese macaque","BrightEyes","3",2,6,4
"115","Zarray","Japanese macaque","BrightEyes","2",3,6,4
"116","Zarray","Japanese macaque","BrightEyes","1",4,6,4
"117","Zarray","Japanese macaque","BrightEyes","5",5,6,4
"118","Zarray","Japanese macaque","BrightEyes","6",6,6,4
"119","Zarray","Japanese macaque","BrightEyes","1006",7,6,4
"120","Zarray","Japanese macaque","BrightEyes","6",1,7,5
"121","Zarray","Japanese macaque","BrightEyes","4",2,7,5
"122","Zarray","Japanese macaque","BrightEyes","3",3,7,5
"123","Zarray","Japanese macaque","BrightEyes","1",4,7,5
"124","Zarray","Japanese macaque","BrightEyes","2",5,7,5
"125","Zarray","Japanese macaque","BrightEyes","5",6,7,5
"126","Zarray","Japanese macaque","BrightEyes","1007",7,7,5
"127","Zarray","Japanese macaque","BrightEyes","2",1,8,5
"128","Zarray","Japanese macaque","BrightEyes","1",2,8,5
"129","Zarray","Japanese macaque","BrightEyes","4",3,8,5
"130","Zarray","Japanese macaque","BrightEyes","3",4,8,5
"131","Zarray","Japanese macaque","BrightEyes","6",5,8,5
"132","Zarray","Japanese macaque","BrightEyes","5",6,8,5
"133","Zarray","Japanese macaque","BrightEyes","1008",7,8,5
"134","Zarray","Japanese macaque","BrightEyes","2",1,9,6
"135","Zarray","Japanese macaque","BrightEyes","3",2,9,6
"136","Zarray","Japanese macaque","BrightEyes","4",3,9,6
"137","Zarray","Japanese macaque","BrightEyes","5",4,9,6
"138","Zarray","Japanese macaque","BrightEyes","6",5,9,6
"139","Zarray","Japanese macaque","BrightEyes","1",6,9,6
"140","Zarray","Japanese macaque","BrightEyes","1009",7,9,6
"141","Zarray","Japanese macaque","BrightEyes","1",1,10,6
"142","Zarray","Japanese macaque","BrightEyes","3",2,10,6
"143","Zarray","Japanese macaque","BrightEyes","4",3,10,6
"144","Zarray","Japanese macaque","BrightEyes","6",4,10,6
"145","Zarray","Japanese macaque","BrightEyes","5",5,10,6
"146","Zarray","Japanese macaque","BrightEyes","2",6,10,6
"147","Zarray","Japanese macaque","BrightEyes","1010",7,10,6
"148","Zarray","Japanese macaque","BrightEyes","3",1,11,6
"149","Zarray","Japanese macaque","BrightEyes","2",2,11,6
"150","Zarray","Japanese macaque","BrightEyes","1",3,11,6
"151","Zarray","Japanese macaque","BrightEyes","4",4,11,6
"152","Zarray","Japanese macaque","BrightEyes","5",5,11,6
"153","Zarray","Japanese macaque","BrightEyes","6",6,11,6
"154","Zarray","Japanese macaque","BrightEyes","1011",7,11,6
"155","Zarray","Japanese macaque","BrightEyes","2",1,12,7
"156","Zarray","Japanese macaque","BrightEyes","1",2,12,7
"157","Zarray","Japanese macaque","BrightEyes","3",3,12,7
"158","Zarray","Japanese macaque","BrightEyes","4",4,12,7
"159","Zarray","Japanese macaque","BrightEyes","6",5,12,7
"160","Zarray","Japanese macaque","BrightEyes","5",6,12,7
"161","Zarray","Japanese macaque","BrightEyes","1012",7,12,7
"162","Zarray","Japanese macaque","BrightEyes","6",1,13,8
"163","Zarray","Japanese macaque","BrightEyes","4",2,13,8
"164","Zarray","Japanese macaque","BrightEyes","3",3,13,8
"165","Zarray","Japanese macaque","BrightEyes","1",4,13,8
"166","Zarray","Japanese macaque","BrightEyes","2",5,13,8
"167","Zarray","Japanese macaque","BrightEyes","5",6,13,8
"168","Zarray","Japanese macaque","BrightEyes","1013",7,13,8
"169","Zarray","Japanese macaque","Propeller","2",1,1,1
"170","Zarray","Japanese macaque","Propeller","3",2,1,1
"171","Zarray","Japanese macaque","Propeller","4",3,1,1
"172","Zarray","Japanese macaque","Propeller","6",4,1,1
"173","Zarray","Japanese macaque","Propeller","5",5,1,1
"174","Zarray","Japanese macaque","Propeller","1",6,1,1
"175","Zarray","Japanese macaque","Propeller","1001",7,1,1
"176","Zarray","Japanese macaque","Propeller","1",1,2,1
"177","Zarray","Japanese macaque","Propeller","2",2,2,1
"178","Zarray","Japanese macaque","Propeller","3",3,2,1
"179","Zarray","Japanese macaque","Propeller","4",4,2,1
"180","Zarray","Japanese macaque","Propeller","6",5,2,1
"181","Zarray","Japanese macaque","Propeller","5",6,2,1
"182","Zarray","Japanese macaque","Propeller","1002",7,2,1
"183","Zarray","Japanese macaque","Propeller","1",1,3,1
"184","Zarray","Japanese macaque","Propeller","2",2,3,1
"185","Zarray","Japanese macaque","Propeller","3",3,3,1
"186","Zarray","Japanese macaque","Propeller","4",4,3,1
"187","Zarray","Japanese macaque","Propeller","6",5,3,1
"188","Zarray","Japanese macaque","Propeller","5",6,3,1
"189","Zarray","Japanese macaque","Propeller","1003",7,3,1
"190","Zarray","Japanese macaque","Propeller","1",1,4,1
"191","Zarray","Japanese macaque","Propeller","2",2,4,1
"192","Zarray","Japanese macaque","Propeller","3",3,4,1
"193","Zarray","Japanese macaque","Propeller","4",4,4,1
"194","Zarray","Japanese macaque","Propeller","6",5,4,1
"195","Zarray","Japanese macaque","Propeller","5",6,4,1
"196","Zarray","Japanese macaque","Propeller","1004",7,4,1
"197","Zarray","Japanese macaque","Propeller","5",1,5,1
"198","Zarray","Japanese macaque","Propeller","6",2,5,1
"199","Zarray","Japanese macaque","Propeller","4",3,5,1
"200","Zarray","Japanese macaque","Propeller","3",4,5,1
"201","Zarray","Japanese macaque","Propeller","2",5,5,1
"202","Zarray","Japanese macaque","Propeller","1",6,5,1
"203","Zarray","Japanese macaque","Propeller","1005",7,5,1
"204","Zarray","Japanese macaque","Propeller","1",1,6,2
"205","Zarray","Japanese macaque","Propeller","2",2,6,2
