Array,Species,ID,Trial,Session,Dist (m),**Sessions cut off at <2 hours between successive trials.,,,
Zarray,Japanese macaque,Asaco,134562,1,,,,,
Zarray,Japanese macaque,Asaco,643215,2,,,,,
Zarray,Japanese macaque,Asaco,134652,2,,,,,
Zarray,Japanese macaque,Asaco,134652,2,,,,,
Zarray,Japanese macaque,Asaco,564321,3,,,,,
Zarray,Japanese macaque,Asaco,564321,4,,,,,
Zarray,Japanese macaque,Asaco,123456,4,,,,,
Zarray,Japanese macaque,Asaco,123456,5,,,,,
Zarray,Japanese macaque,Asaco,564321,6,,,,,
Zarray,Japanese macaque,Asaco,123456,6,,,,,
Zarray,Japanese macaque,Asaco,123456,7,,,,,
Zarray,Japanese macaque,BrightEyes,134652,1,,,,,
Zarray,Japanese macaque,BrightEyes,134562,2,,,,,
Zarray,Japanese macaque,BrightEyes,213465,3,,,,,
Zarray,Japanese macaque,BrightEyes,234561,3,,,,,
Zarray,Japanese macaque,BrightEyes,134652,3,,,,,
Zarray,Japanese macaque,BrightEyes,432156,4,,,,,
Zarray,Japanese macaque,BrightEyes,643125,5,,,,,
Zarray,Japanese macaque,BrightEyes,214365,5,,,,,
Zarray,Japanese macaque,BrightEyes,234561,6,,,,,
Zarray,Japanese macaque,BrightEyes,134652,6,,,,,
Zarray,Japanese macaque,BrightEyes,321456,6,,,,,
Zarray,Japanese macaque,BrightEyes,213465,7,,,,,
Zarray,Japanese macaque,BrightEyes,643125,8,,,,,
Zarray,Japanese macaque,Propeller,234651,1,,,,,
Zarray,Japanese macaque,Propeller,123465,1,,,,,
Zarray,Japanese macaque,Propeller,123465,1,,,,,
Zarray,Japanese macaque,Propeller,123465,1,,,,,
Zarray,Japanese macaque,Propeller,564321,1,,,,,
Zarray,Japanese macaque,Propeller,123465,2,,,,,
Zarray,Japanese macaque,Propeller,456321,3,,,,,
Zarray,Japanese macaque,Propeller,132465,3,,,,,
Zarray,Japanese macaque,Propeller,132465,3,,,,,
Zarray,Japanese macaque,Propeller,123465,3,,,,,
Zarray,Japanese macaque,Propeller,432156,3,,,,,
Zarray,Japanese macaque,Propeller,123465,3,,,,,
Zarray,Japanese macaque,Propeller,543261,3,,,,,
Zarray,Japanese macaque,Propeller,213456,4,,,,,
Zarray,Japanese macaque,Propeller,564321,5,,,,,
Zarray,Japanese macaque,Propeller,123465,5,,,,,
Zarray,Japanese macaque,Propeller,123465,5,,,,,
Zarray,Japanese macaque,Propeller,546321,5,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
Zarray,Japanese macaque,Rudy,645312,1,,,,,
Zarray,Japanese macaque,Rudy,643215,1,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
Zarray,Japanese macaque,Rudy,654312,1,,,,,
Zarray,Japanese macaque,Rudy,645321,1,,,,,
Zarray,Japanese macaque,Rudy,643215,1,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
Zarray,Japanese macaque,Rudy,654321,1,,,,,
