"","Array","Species","ID","Sequence","Session","Trial"
"1","Zarray","Japanese macaque","Asaco","134562",1,1
"2","Zarray","Japanese macaque","Asaco","643215",2,2
"3","Zarray","Japanese macaque","Asaco","134652",2,3
"4","Zarray","Japanese macaque","Asaco","134652",2,4
"5","Zarray","Japanese macaque","Asaco","564321",3,5
"6","Zarray","Japanese macaque","Asaco","564321",4,6
"7","Zarray","Japanese macaque","Asaco","123456",4,7
"8","Zarray","Japanese macaque","Asaco","123456",5,8
"9","Zarray","Japanese macaque","Asaco","564321",6,9
"10","Zarray","Japanese macaque","Asaco","123456",6,10
"11","Zarray","Japanese macaque","Asaco","123456",7,11
"12","Zarray","Japanese macaque","BrightEyes","134652",1,1
"13","Zarray","Japanese macaque","BrightEyes","134562",2,2
"14","Zarray","Japanese macaque","BrightEyes","213465",3,3
"15","Zarray","Japanese macaque","BrightEyes","234561",3,4
"16","Zarray","Japanese macaque","BrightEyes","134652",3,5
"17","Zarray","Japanese macaque","BrightEyes","432156",4,6
"18","Zarray","Japanese macaque","BrightEyes","643125",5,7
"19","Zarray","Japanese macaque","BrightEyes","214365",5,8
"20","Zarray","Japanese macaque","BrightEyes","234561",6,9
"21","Zarray","Japanese macaque","BrightEyes","134652",6,10
"22","Zarray","Japanese macaque","BrightEyes","321456",6,11
"23","Zarray","Japanese macaque","BrightEyes","213465",7,12
"24","Zarray","Japanese macaque","BrightEyes","643125",8,13
"25","Zarray","Japanese macaque","Propeller","234651",1,1
"26","Zarray","Japanese macaque","Propeller","123465",1,2
"27","Zarray","Japanese macaque","Propeller","123465",1,3
"28","Zarray","Japanese macaque","Propeller","123465",1,4
"29","Zarray","Japanese macaque","Propeller","564321",1,5
"30","Zarray","Japanese macaque","Propeller","123465",2,6
"31","Zarray","Japanese macaque","Propeller","456321",3,7
"32","Zarray","Japanese macaque","Propeller","132465",3,8
"33","Zarray","Japanese macaque","Propeller","132465",3,9
"34","Zarray","Japanese macaque","Propeller","123465",3,10
"35","Zarray","Japanese macaque","Propeller","432156",3,11
"36","Zarray","Japanese macaque","Propeller","123465",3,12
"37","Zarray","Japanese macaque","Propeller","543261",3,13
"38","Zarray","Japanese macaque","Propeller","213456",4,14
"39","Zarray","Japanese macaque","Propeller","564321",5,15
"40","Zarray","Japanese macaque","Propeller","123465",5,16
"41","Zarray","Japanese macaque","Propeller","123465",5,17
"42","Zarray","Japanese macaque","Propeller","546321",5,18
"43","Zarray","Japanese macaque","Rudy","654321",1,1
"44","Zarray","Japanese macaque","Rudy","654321",1,2
"45","Zarray","Japanese macaque","Rudy","654321",1,3
"46","Zarray","Japanese macaque","Rudy","645312",1,4
"47","Zarray","Japanese macaque","Rudy","643215",1,5
"48","Zarray","Japanese macaque","Rudy","654321",1,6
"49","Zarray","Japanese macaque","Rudy","654312",1,7
"50","Zarray","Japanese macaque","Rudy","645321",1,8
"51","Zarray","Japanese macaque","Rudy","643215",1,9
"52","Zarray","Japanese macaque","Rudy","654321",1,10
"53","Zarray","Japanese macaque","Rudy","654321",1,11
"54","Zarray","Japanese macaque","Rudy","654321",1,12
"55","Zarray","Japanese macaque","Rudy","234156",2,13
"56","Zarray","Japanese macaque","Rudy","643215",2,14
"57","Zarray","Japanese macaque","Rudy","234156",2,15
"58","Zarray","Japanese macaque","Rudy","643215",2,16
"59","Zarray","Japanese macaque","Rudy","643215",2,17
"60","Zarray","Japanese macaque","Rudy","654321",2,18
"61","Zarray","Japanese macaque","Rudy","213456",2,19
"62","Zarray","Japanese macaque","Rudy","654321",2,20
"63","Zarray","Japanese macaque","Rudy","643215",3,21
"64","Zarray","Japanese macaque","Rudy","234561",4,22
"65","Zarray","Japanese macaque","Rudy","643215",4,23
"66","Zarray","Japanese macaque","Rudy","654321",4,24
"67","Zarray","Japanese macaque","Rudy","643215",4,25
"68","Zarray","Japanese macaque","Rudy","643215",4,26
"69","Zarray","Japanese macaque","Rudy","645321",4,27
"70","Zarray","Japanese macaque","Rudy","645321",4,28
"71","Zarray","Japanese macaque","Rudy","654321",4,29
"72","Zarray","Japanese macaque","Rudy","654321",4,30
"73","Zarray","Japanese macaque","Rudy","643215",4,31
"74","Zarray","Japanese macaque","ScarLeftForearm","234651",1,1
"75","Zarray","Japanese macaque","ScarLeftForearm","431265",2,2
"76","Zarray","Japanese macaque","ScarLeftForearm","645312",3,3
"77","Zarray","Japanese macaque","ScarLeftForearm","213465",4,4
"78","Zarray","Japanese macaque","ScarLeftForearm","532146",5,5
"79","Zarray","Japanese macaque","ScarLeftForearm","123465",5,6
"80","Zarray","Japanese macaque","ScarLeftForearm","123465",5,7
"81","Zarray","Japanese macaque","ScarLeftForearm","543126",6,8
"82","Zarray","Japanese macaque","ScarLeftForearm","546312",6,9
"83","Zarray","Japanese macaque","ScarLeftForearm","321456",7,10
"84","Zarray","Japanese macaque","Fuco","654312",1,1
"85","Zarray","Japanese macaque","Fuco","654123",1,2
"86","Zarray","Japanese macaque","Fuco","321456",1,3
"87","Zarray","Japanese macaque","Fuco","654132",1,4
"88","Zarray","Japanese macaque","Fuco","346512",2,5
"89","Zarray","Japanese macaque","Fuco","213465",3,6
"90","Zarray","Japanese macaque","Fuco","123456",4,7
"91","Zarray","Japanese macaque","Fuco","123465",5,8
"92","Zarray","Japanese macaque","Fuco","123456",6,9
"93","Zarray","Japanese macaque","Kii","643215",1,1
"94","Zarray","Japanese macaque","Kii","632145",1,2
"95","Zarray","Japanese macaque","Kii","513462",2,3
"96","Zarray","Japanese macaque","Kii","132465",2,4
"97","Zarray","Japanese macaque","Kii","123465",3,5
"98","Zarray","Japanese macaque","Manta","654321",1,1
"99","Zarray","Japanese macaque","Manta","643125",2,2
"100","Zarray","Japanese macaque","Manta","234561",3,3
"101","Zarray","Japanese macaque","Manta","564321",4,4
"102","Zarray","Japanese macaque","Manta","654312",5,5
"103","Zarray","Japanese macaque","Patchy","654321",1,1
"104","Zarray","Japanese macaque","Patchy","132456",2,2
"105","Zarray","Japanese macaque","Patchy","134652",3,3
"106","Zarray","Japanese macaque","Patchy","123456",4,4
"107","Zarray","Japanese macaque","Patchy","543216",5,5
"108","Zarray","Japanese macaque","Patchy","213465",6,6
"109","Zarray","Japanese macaque","Patchy","132456",6,7
"110","Zarray","Japanese macaque","Yochan","654312",1,1
"111","Zarray","Japanese macaque","Yochan","234561",1,2
"112","Zarray","Japanese macaque","Yochan","123465",2,3
"113","Zarray","Japanese macaque","Yochan","123465",2,4
"114","Zarray","Japanese macaque","Yochan","123465",2,5
"115","Zarray","Japanese macaque","Yochan","123465",3,6
"116","DT","Vervet","CL","145632",1,1
"117","DT","Vervet","CL","214356",1,2
"118","DT","Vervet","JK","542163",1,1
"119","DT","Vervet","JK","5412643",2,2
"120","DT","Vervet","JK","216543",3,3
"121","DT","Vervet","JK","543216",3,4
"122","DT","Vervet","JK","341256",4,5
"123","DT","Vervet","JK","543216",5,6
"124","DT","Vervet","JK","543216",6,7
"125","DT","Vervet","JK","543216",6,8
"126","DT","Vervet","JK","543216",6,9
"127","DT","Vervet","JK","543126",7,10
"128","DT","Vervet","JK","412356",8,11
"129","DT","Vervet","JK","543216",9,12
"130","DT","Vervet","JK","543216",10,13
"131","DT","Vervet","JK","5412643",11,14
"132","DT","Vervet","JK","341265",11,15
"133","DT","Vervet","JK","5412653",11,16
"134","DT","Vervet","JK","541236",12,17
"135","DT","Vervet","JK","341265",12,18
"136","DT","Vervet","JK","541236",12,19
"137","DT","Vervet","JK","345612",12,20
"138","DT","Vervet","JK","345612",13,21
"139","DT","Vervet","JK","541263",14,22
"140","DT","Vervet","JK","412653",15,23
"141","DT","Vervet","JK","541236",16,24
"142","DT","Vervet","JK","432165",16,25
"143","DT","Vervet","JK","541263",17,26
"144","DT","Vervet","JK","451236",17,27
"145","DT","Vervet","JK","341652",17,28
"146","DT","Vervet","JK","341265",17,29
"147","DT","Vervet","JK","412653",17,30
"148","DT","Vervet","JK","345126",18,31
"149","DT","Vervet","JK","543126",18,32
"150","DT","Vervet","JK","341265",18,33
"151","DT","Vervet","JK","543126",18,34
"152","DT","Vervet","JK","5412643",19,35
"153","DT","Vervet","JK","541236",19,36
"154","DT","Vervet","JK","543126",19,37
"155","DT","Vervet","JK","543126",20,38
"156","DT","Vervet","JK","612435",20,39
"157","DT","Vervet","JK","543126",21,40
"158","DT","Vervet","JK","541263",21,41
"159","DT","Vervet","JK","543126",21,42
"160","DT","Vervet","JK","5412346",21,43
"161","DT","Vervet","JK","541263",22,44
"162","DT","Vervet","JK","341265",22,45
"163","DT","Vervet","JK","543216",23,46
"164","DT","Vervet","JK","543216",23,47
"165","DT","Vervet","JK","543162",23,48
"166","DT","Vervet","JK","345126",23,49
"167","DT","Vervet","JK","543216",24,50
"168","DT","Vervet","JK","543216",24,51
"169","DT","Vervet","JK","541263",24,52
"170","DT","Vervet","JK","216543",25,53
"171","DT","Vervet","JK","543216",25,54
"172","DT","Vervet","JK","612435",26,55
"173","DT","Vervet","JK","543126",27,56
"174","DT","Vervet","JK","54216",27,57
"175","DT","Vervet","JK","543126",27,58
"176","DT","Vervet","JK","654123",27,59
"177","DT","Vervet","JK","543216",28,60
"178","DT","Vervet","JK","345612",29,61
"179","DT","Vervet","JK","341265",29,62
"180","DT","Vervet","JK","321456",30,63
"181","DT","Vervet","JK","543216",30,64
"182","DT","Vervet","JK","541263",30,65
"183","DT","Vervet","JK","412563",30,66
"184","DT","Vervet","JK","541263",30,67
"185","DT","Vervet","JK","543126",31,68
"186","DT","Vervet","JK","541236",31,69
"187","DT","Vervet","JK","543216",31,70
"188","DT","Vervet","JK","543216",31,71
"189","DT","Vervet","JK","543216",32,72
"190","DT","Vervet","JK","541263",33,73
"191","DT","Vervet","JK","543216",33,74
"192","DT","Vervet","JK","543216",33,75
"193","DT","Vervet","JK","543216",33,76
"194","DT","Vervet","JK","5412653",33,77
"195","DT","Vervet","JK","345612",33,78
"196","DT","Vervet","JK","216543",34,79
"197","DT","Vervet","JK","341265",34,80
"198","DT","Vervet","JK","341265",34,81
"199","DT","Vervet","JK","341265",34,82
"200","DT","Vervet","JK","341265",34,83
"201","DT","Vervet","JK","541263",35,84
"202","DT","Vervet","JK","543126",35,85
"203","DT","Vervet","JK","345126",36,86
"204","DT","Vervet","JK","541236",37,87
"205","DT","Vervet","JK","543216",37,88
"206","DT","Vervet","JK","541236",37,89
"207","DT","Vervet","JK","412563",38,90
"208","DT","Vervet","JK","541263",38,91
"209","DT","Vervet","JK","541236",38,92
"210","DT","Vervet","JK","541236",38,93
"211","DT","Vervet","JK","541236",39,94
"212","DT","Vervet","JK","341256",39,95
"213","DT","Vervet","JK","412356",39,96
"214","DT","Vervet","JK","541263",40,97
"215","DT","Vervet","JK","54216",40,98
